| Label | Message                                                |
| ----- | ------------------------------------------------------ |
| ham   | Hey, are we still meeting today?                       |
| ham   | Don’t forget to bring the notes.                       |
| spam  | Congratulations! You have won ₹10,000. Claim now!      |
| spam  | Free entry in a contest! Call now!                     |
| ham   | Can you send me the assignment?                        |
| spam  | Urgent! Your account has been compromised. Click here. |
| ham   | Let’s go for lunch tomorrow.                           |
| spam  | You have been selected for a prize. Call now!          |
| ham   | Where are you right now?                               |
| spam  | Get a loan instantly with zero interest! Apply now!    |
| ham   | I will call you later.                                 |
| spam  | Win a free mobile recharge worth ₹500!                 |
| ham   | Did you complete the project?                          |
| spam  | Limited offer! Buy now and save big!                   |
| ham   | See you in class.                                      |
| spam  | Click this link to claim your reward!                  |
